,BLB,PendapatanbulananpurataisirumahkurangdaripadaPGK,Keadaantempattinggalusangataumulaiburuk,Lebih2ahliisirumahbilik,Menggunakantandasselaindaripadatandaspam,TiadakemudahanKutipanSampah,Semuaahliisirumahsamaadatidakmenggunakanpengangkutanpersendirian,Isirumahtidakmampumenyewadanmemilikirumah,Tidakmemilikitelefontaliantetapatautelefonbimbit,Tidakdapatmengaksesinternet,TidakmendapatkemudahanawamTeknologiICT,Semuaahliisirumahberumur1760tahunmempunyaikurangdaripada11tahunp,Kanakkanakantara616tahunyangtidakbersekolah,Pemeliharaanagama,Pemeliharaanakal,Pemeliharaannyawa,Pemeliharaanketurunan,Pemeliharaanharta,Pengambilanmakanankurangdaripadatiga3kalisehari,Selaindaripadabekalanairterawatdidalamrumahdanpaipairawampaipber,Cluster,Cluster_Name
54,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
55,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
56,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
57,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
58,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
59,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
60,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
61,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
62,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,Cluster_0
63,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
64,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
65,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Cluster_0
66,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
67,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,Cluster_0
68,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
69,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
70,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
71,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
72,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
73,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
74,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,Cluster_0
75,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
76,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Cluster_0
77,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Cluster_0
78,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
79,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,Cluster_1
80,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,Cluster_1
81,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,Cluster_1
82,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Cluster_0
